Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,0.0007564
Sample Interval,4e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH3
5.564e-04,0.0182063
5.568e-04,0.0181797
5.572e-04,0.0181797
5.576e-04,0.0180875
5.580e-04,0.0181031
5.584e-04,0.0180016
5.588e-04,0.0180125
5.592e-04,0.0179516
5.596e-04,0.0177781
5.600e-04,0.0178328
5.604e-04,0.0179328
5.608e-04,0.0179234
5.612e-04,0.0178062
5.616e-04,0.0177188
5.620e-04,0.0175594
5.624e-04,0.0176125
5.628e-04,0.0175156
5.632e-04,0.0176109
5.636e-04,0.0174984
5.640e-04,0.0175953
5.644e-04,0.0175219
5.648e-04,0.0173219
5.652e-04,0.0173406
5.656e-04,0.0172844
5.660e-04,0.0172266
5.664e-04,0.0172781
5.668e-04,0.0171906
5.672e-04,0.0172031
5.676e-04,0.0169953
5.680e-04,0.0170531
5.684e-04,0.0171844
5.688e-04,0.0170656
5.692e-04,0.0171313
5.696e-04,0.0170359
5.700e-04,0.0168297
5.704e-04,0.0169047
5.708e-04,0.0167312
5.712e-04,0.017
5.716e-04,0.0168844
5.720e-04,0.0166625
5.724e-04,0.0166656
5.728e-04,0.0165922
5.732e-04,0.0164578
5.736e-04,0.0164578
5.740e-04,0.0166422
5.744e-04,0.016575
5.748e-04,0.0165766
5.752e-04,0.0163844
5.756e-04,0.0162656
5.760e-04,0.0163484
5.764e-04,0.0162328
5.768e-04,0.0161453
5.772e-04,0.0164234
5.776e-04,0.0160859
5.780e-04,0.0161062
5.784e-04,0.0161781
5.788e-04,0.0160141
5.792e-04,0.0160844
5.796e-04,0.0158547
5.800e-04,0.0159563
5.804e-04,0.0159641
5.808e-04,0.0158594
5.812e-04,0.0158125
5.816e-04,0.0157156
5.820e-04,0.0158875
5.824e-04,0.0158906
5.828e-04,0.0156594
5.832e-04,0.0157406
5.836e-04,0.0156953
5.840e-04,0.0156672
5.844e-04,0.0155359
5.848e-04,0.0154453
5.852e-04,0.0154281
5.856e-04,0.0153734
5.860e-04,0.0153031
5.864e-04,0.0155031
5.868e-04,0.0153438
5.872e-04,0.0152828
5.876e-04,0.0152594
5.880e-04,0.0152469
5.884e-04,0.0151359
5.888e-04,0.0150828
5.892e-04,0.015325
5.896e-04,0.0149313
5.900e-04,0.0150141
5.904e-04,0.0149734
5.908e-04,0.0149156
5.912e-04,0.0149172
5.916e-04,0.0149234
5.920e-04,0.0148391
5.924e-04,0.0148203
5.928e-04,0.0146438
5.932e-04,0.0148156
5.936e-04,0.0146594
5.940e-04,0.014775
5.944e-04,0.0145266
5.948e-04,0.0145719
5.952e-04,0.0147641
5.956e-04,0.0145469
5.960e-04,0.0144406
5.964e-04,0.0144938
5.968e-04,0.0144422
5.972e-04,0.014475
5.976e-04,0.0142547
5.980e-04,0.0144422
5.984e-04,0.0142828
5.988e-04,0.0143578
5.992e-04,0.0143141
5.996e-04,0.0142578
6.000e-04,0.0141266
6.004e-04,0.0141766
6.008e-04,0.0141094
6.012e-04,0.0140922
6.016e-04,0.0141563
6.020e-04,0.0142016
6.024e-04,0.0141234
6.028e-04,0.0140109
6.032e-04,0.0140109
6.036e-04,0.0139656
6.040e-04,0.0138813
6.044e-04,0.0139
6.048e-04,0.0138141
6.052e-04,0.0139266
6.056e-04,0.0137203
6.060e-04,0.0138109
6.064e-04,0.013675
6.068e-04,0.0138
6.072e-04,0.013775
6.076e-04,0.0136531
6.080e-04,0.0136063
6.084e-04,0.0135563
6.088e-04,0.0134375
6.092e-04,0.0135344
6.096e-04,0.0134094
6.100e-04,0.0132859
6.104e-04,0.0133813
6.108e-04,0.0133094
6.112e-04,0.0133781
6.116e-04,0.0132594
6.120e-04,0.0133797
6.124e-04,0.0133516
6.128e-04,0.0131766
6.132e-04,0.0131672
6.136e-04,0.0133344
6.140e-04,0.0131625
6.144e-04,0.0131375
6.148e-04,0.0128828
6.152e-04,0.0130734
6.156e-04,0.0130094
6.160e-04,0.0128563
6.164e-04,0.0130125
6.168e-04,0.0130094
6.172e-04,0.0127297
6.176e-04,0.0128969
6.180e-04,0.0129031
6.184e-04,0.0127203
6.188e-04,0.0128687
6.192e-04,0.0127859
6.196e-04,0.0127125
6.200e-04,0.0125203
6.204e-04,0.0125859
6.208e-04,0.0126609
6.212e-04,0.0126703
6.216e-04,0.0126328
6.220e-04,0.0125313
6.224e-04,0.01255
6.228e-04,0.0123859
6.232e-04,0.0124703
6.236e-04,0.0123031
6.240e-04,0.012325
6.244e-04,0.0123516
6.248e-04,0.0122844
6.252e-04,0.0122219
6.256e-04,0.0123281
6.260e-04,0.0122656
6.264e-04,0.0122016
6.268e-04,0.0120781
6.272e-04,0.0121453
6.276e-04,0.0121469
6.280e-04,0.0122141
6.284e-04,0.0121813
6.288e-04,0.0121578
6.292e-04,0.0119922
6.296e-04,0.0120031
6.300e-04,0.0117766
6.304e-04,0.0119234
6.308e-04,0.0119703
6.312e-04,0.0119594
6.316e-04,0.0118875
6.320e-04,0.011875
6.324e-04,0.0117984
6.328e-04,0.0117594
6.332e-04,0.0117203
6.336e-04,0.0116969
6.340e-04,0.0118156
6.344e-04,0.0117203
6.348e-04,0.0116828
6.352e-04,0.0116594
6.356e-04,0.0116313
6.360e-04,0.011625
6.364e-04,0.0115438
6.368e-04,0.0114984
6.372e-04,0.0115453
6.376e-04,0.0114766
6.380e-04,0.0114125
6.384e-04,0.0114
6.388e-04,0.0113625
6.392e-04,0.0114031
6.396e-04,0.0112625
6.400e-04,0.0111078
6.404e-04,0.0112734
6.408e-04,0.0112219
6.412e-04,0.0112516
6.416e-04,0.0110813
6.420e-04,0.0111563
6.424e-04,0.011175
6.428e-04,0.0109453
6.432e-04,0.0111547
6.436e-04,0.0111219
6.440e-04,0.0109094
6.444e-04,0.0111313
6.448e-04,0.0108781
6.452e-04,0.0109234
6.456e-04,0.0108531
6.460e-04,0.0110641
6.464e-04,0.01075
6.468e-04,0.0109312
6.472e-04,0.0108344
6.476e-04,0.010675
6.480e-04,0.0107188
6.484e-04,0.0107484
6.488e-04,0.0106969
6.492e-04,0.0106812
6.496e-04,0.0106453
6.500e-04,0.010525
6.504e-04,0.0105203
6.508e-04,0.0105375
6.512e-04,0.0105297
6.516e-04,0.0103609
6.520e-04,0.0104969
6.524e-04,0.0105031
6.528e-04,0.0103484
6.532e-04,0.0105172
6.536e-04,0.0105203
6.540e-04,0.0103969
6.544e-04,0.0104
6.548e-04,0.0104219
6.552e-04,0.0104391
6.556e-04,0.0102703
6.560e-04,0.0102203
6.564e-04,0.0101734
6.568e-04,0.0101094
6.572e-04,0.0103266
6.576e-04,0.010025
6.580e-04,0.0100187
6.584e-04,0.0102531
6.588e-04,0.0100547
6.592e-04,0.0100469
6.596e-04,0.00991094
6.600e-04,0.00977188
6.604e-04,0.00995469
6.608e-04,0.0099125
6.612e-04,0.00990781
6.616e-04,0.0098625
6.620e-04,0.00984063
6.624e-04,0.00981875
6.628e-04,0.00992031
6.632e-04,0.00987031
6.636e-04,0.00983438
6.640e-04,0.00977969
6.644e-04,0.00979531
6.648e-04,0.009675
6.652e-04,0.00966875
6.656e-04,0.00963125
6.660e-04,0.00957344
6.664e-04,0.00965156
6.668e-04,0.00963281
6.672e-04,0.00955
6.676e-04,0.00948437
6.680e-04,0.00956563
6.684e-04,0.0095625
6.688e-04,0.00950156
6.692e-04,0.00964062
6.696e-04,0.00935469
6.700e-04,0.00935781
6.704e-04,0.00951719
6.708e-04,0.00954219
6.712e-04,0.00942031
6.716e-04,0.00931875
6.720e-04,0.00934844
6.724e-04,0.00932031
6.728e-04,0.00932656
6.732e-04,0.00918906
6.736e-04,0.00919531
6.740e-04,0.00924063
6.744e-04,0.00929844
6.748e-04,0.00924844
6.752e-04,0.00927031
6.756e-04,0.00926094
6.760e-04,0.00912969
6.764e-04,0.00908906
6.768e-04,0.00906563
6.772e-04,0.00912969
6.776e-04,0.00895469
6.780e-04,0.00889375
6.784e-04,0.00899531
6.788e-04,0.00892813
6.792e-04,0.00901719
6.796e-04,0.00891875
6.800e-04,0.00884688
6.804e-04,0.00887813
6.808e-04,0.00903125
6.812e-04,0.00890469
6.816e-04,0.00874688
6.820e-04,0.00886719
6.824e-04,0.00872969
6.828e-04,0.00866406
6.832e-04,0.00863906
6.836e-04,0.00867031
6.840e-04,0.00864063
6.844e-04,0.00865469
6.848e-04,0.00853125
6.852e-04,0.00862656
6.856e-04,0.00847031
6.860e-04,0.00855469
6.864e-04,0.008675
6.868e-04,0.00864063
6.872e-04,0.00844844
6.876e-04,0.0084
6.880e-04,0.0084625
6.884e-04,0.00841719
6.888e-04,0.00846406
6.892e-04,0.00847031
6.896e-04,0.00843281
6.900e-04,0.00837656
6.904e-04,0.00826875
6.908e-04,0.00828594
6.912e-04,0.00832344
6.916e-04,0.00816875
6.920e-04,0.00835625
6.924e-04,0.00818594
6.928e-04,0.00832969
6.932e-04,0.00829063
6.936e-04,0.0079875
6.940e-04,0.00807344
6.944e-04,0.00811719
6.948e-04,0.00812656
6.952e-04,0.0081625
6.956e-04,0.00802031
6.960e-04,0.00810781
6.964e-04,0.00807969
6.968e-04,0.00805938
6.972e-04,0.0079875
6.976e-04,0.00781406
6.980e-04,0.0079875
6.984e-04,0.00787812
6.988e-04,0.00779687
6.992e-04,0.00792813
6.996e-04,0.00794375
7.000e-04,0.00782344
7.004e-04,0.00778125
7.008e-04,0.00776875
7.012e-04,0.00779219
7.016e-04,0.00797813
7.020e-04,0.00792188
7.024e-04,0.00781406
7.028e-04,0.0076375
7.032e-04,0.00770156
7.036e-04,0.00773281
7.040e-04,0.00763594
7.044e-04,0.0075625
7.048e-04,0.00772969
7.052e-04,0.00757969
7.056e-04,0.00754688
7.060e-04,0.00747813
7.064e-04,0.00762656
7.068e-04,0.00743906
7.072e-04,0.00764688
7.076e-04,0.00743594
7.080e-04,0.00733594
7.084e-04,0.00739531
7.088e-04,0.00745781
7.092e-04,0.00739531
7.096e-04,0.00739063
7.100e-04,0.00730469
7.104e-04,0.00735313
7.108e-04,0.00735781
7.112e-04,0.0074625
7.116e-04,0.00714063
7.120e-04,0.00734688
7.124e-04,0.0073
7.128e-04,0.00719062
7.132e-04,0.00727031
7.136e-04,0.00731094
7.140e-04,0.00727031
7.144e-04,0.00717344
7.148e-04,0.00706406
7.152e-04,0.00725625
7.156e-04,0.00693594
7.160e-04,0.0071125
7.164e-04,0.00707969
7.168e-04,0.00694531
7.172e-04,0.00700313
7.176e-04,0.00701406
7.180e-04,0.00700156
7.184e-04,0.00680625
7.188e-04,0.00683906
7.192e-04,0.00696563
7.196e-04,0.00686406
7.200e-04,0.0068875
7.204e-04,0.00689219
7.208e-04,0.00676562
7.212e-04,0.00685469
7.216e-04,0.00675469
7.220e-04,0.00691094
7.224e-04,0.00678125
7.228e-04,0.00679531
7.232e-04,0.00686406
7.236e-04,0.00656563
7.240e-04,0.00670156
7.244e-04,0.00671094
7.248e-04,0.00674531
7.252e-04,0.00671875
7.256e-04,0.006625
7.260e-04,0.00667656
7.264e-04,0.00679063
7.268e-04,0.00661875
7.272e-04,0.00668906
7.276e-04,0.00658906
7.280e-04,0.00644844
7.284e-04,0.00651094
7.288e-04,0.00653594
7.292e-04,0.00663438
7.296e-04,0.00646719
7.300e-04,0.00656563
7.304e-04,0.00642031
7.308e-04,0.00637969
7.312e-04,0.00661875
7.316e-04,0.00647031
7.320e-04,0.00637031
7.324e-04,0.0064
7.328e-04,0.00639844
7.332e-04,0.00633438
7.336e-04,0.00641563
7.340e-04,0.0063125
7.344e-04,0.00629219
7.348e-04,0.00629531
