Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-05,,
Horizontal Delay,0.0007572,,
Sample Interval,4e-07,,
Record Length,1000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.2,,
Vertical Position,0,,
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
5.572e-04,-0.00684375,0.0181703,-0.00445313
5.576e-04,-0.0078125,0.0180484,-0.00476562
5.580e-04,-0.00771875,0.0179937,-0.00473437
5.584e-04,-0.0075,0.0180531,-0.004875
5.588e-04,-0.0075625,0.0180094,-0.0045625
5.592e-04,-0.008625,0.0180234,-0.00440625
5.596e-04,-0.0080625,0.0178937,-0.00442188
5.600e-04,-0.0076875,0.0179141,-0.00426563
5.604e-04,-0.00790625,0.0179375,-0.00485937
5.608e-04,-0.00803125,0.0178641,-0.00489063
5.612e-04,-0.00921875,0.0178078,-0.0048125
5.616e-04,-0.0085625,0.0176953,-0.0045625
5.620e-04,-0.00596875,0.0177578,-0.00398438
5.624e-04,-0.00746875,0.0176563,-0.00414063
5.628e-04,-0.00771875,0.0175281,-0.00473437
5.632e-04,-0.00828125,0.0176125,-0.004375
5.636e-04,-0.00846875,0.0176078,-0.00439063
5.640e-04,-0.00809375,0.0176328,-0.00482812
5.644e-04,-0.008,0.0174469,-0.00479687
5.648e-04,-0.00865625,0.0174234,-0.0044375
5.652e-04,-0.0078125,0.0174562,-0.00421875
5.656e-04,-0.0078125,0.0173188,-0.00460937
5.660e-04,-0.00784375,0.0173813,-0.0050625
5.664e-04,-0.00778125,0.0172891,-0.00428125
5.668e-04,-0.00809375,0.0171,-0.004875
5.672e-04,-0.00803125,0.0171109,-0.00490625
5.676e-04,-0.006875,0.0173484,-0.00434375
5.680e-04,-0.0084375,0.0171406,-0.00459375
5.684e-04,-0.0085625,0.0170859,-0.004875
5.688e-04,-0.0083125,0.0170437,-0.00445313
5.692e-04,-0.00796875,0.0170078,-0.00465625
5.696e-04,-0.00753125,0.0168172,-0.00445313
5.700e-04,-0.0076875,0.01695,-0.00446875
5.704e-04,-0.00765625,0.016925,-0.00464062
5.708e-04,-0.00803125,0.0166719,-0.00470312
5.712e-04,-0.00765625,0.0167797,-0.00484375
5.716e-04,-0.00828125,0.0169359,-0.00475
5.720e-04,-0.00840625,0.0167891,-0.0044375
5.724e-04,-0.00790625,0.0167156,-0.00420313
5.728e-04,-0.00815625,0.0166422,-0.00417188
5.732e-04,-0.0085,0.0165766,-0.00471875
5.736e-04,-0.0085625,0.0167031,-0.00467187
5.740e-04,-0.0089375,0.0165922,-0.00492188
5.744e-04,-0.00840625,0.0164422,-0.00446875
5.748e-04,-0.0065625,0.01645,-0.00389062
5.752e-04,-0.00759375,0.0164266,-0.0045625
5.756e-04,-0.0089375,0.0163328,-0.00464062
5.760e-04,-0.00809375,0.0162656,-0.00442188
5.764e-04,-0.00871875,0.0162141,-0.00448438
5.768e-04,-0.00840625,0.0162578,-0.00490625
5.772e-04,-0.0089375,0.0161375,-0.0046875
5.776e-04,-0.0081875,0.0162516,-0.0045625
