Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,0.0007592,
Sample Interval,4e-07,
Record Length,1000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH2,CH3
5.592e-04,-0.00684375,0.0173406
5.596e-04,-0.00746875,0.0174578
5.600e-04,-0.0078125,0.0173891
5.604e-04,-0.00784375,0.0173281
5.608e-04,-0.00728125,0.0173188
5.612e-04,-0.0083125,0.0172484
5.616e-04,-0.00796875,0.0172922
5.620e-04,-0.00834375,0.0172219
5.624e-04,-0.008125,0.0171594
5.628e-04,-0.00821875,0.0171734
5.632e-04,-0.00821875,0.0171016
5.636e-04,-0.0085625,0.0169672
5.640e-04,-0.00703125,0.0170375
5.644e-04,-0.00734375,0.0169469
5.648e-04,-0.0080625,0.0168438
5.652e-04,-0.00828125,0.0167875
5.656e-04,-0.00865625,0.0167906
5.660e-04,-0.0083125,0.0168453
5.664e-04,-0.009125,0.0166563
5.668e-04,-0.00825,0.0166859
5.672e-04,-0.00784375,0.0166234
5.676e-04,-0.00753125,0.0166297
5.680e-04,-0.009125,0.0164734
5.684e-04,-0.0080625,0.0165281
5.688e-04,-0.00828125,0.0165
5.692e-04,-0.0085,0.0165406
5.696e-04,-0.00721875,0.0165609
5.700e-04,-0.00875,0.016425
5.704e-04,-0.008625,0.0163344
5.708e-04,-0.008625,0.0162953
5.712e-04,-0.00703125,0.0163797
5.716e-04,-0.00775,0.0162953
5.720e-04,-0.00753125,0.0162719
5.724e-04,-0.00803125,0.0162156
5.728e-04,-0.00853125,0.0161672
5.732e-04,-0.00784375,0.0161641
5.736e-04,-0.00878125,0.0161234
5.740e-04,-0.00821875,0.016025
5.744e-04,-0.00825,0.0160062
5.748e-04,-0.008,0.0160453
5.752e-04,-0.00809375,0.0158812
5.756e-04,-0.00840625,0.0159125
5.760e-04,-0.00921875,0.0158281
5.764e-04,-0.00846875,0.0157766
5.768e-04,-0.00721875,0.0157703
5.772e-04,-0.0078125,0.0157547
5.776e-04,-0.009,0.0157547
5.780e-04,-0.00809375,0.0157156
5.784e-04,-0.00796875,0.0156344
5.788e-04,-0.00859375,0.0154797
5.792e-04,-0.0089375,0.0155453
5.796e-04,-0.0085,0.0155078
5.800e-04,-0.0076875,0.0154844
5.804e-04,-0.00778125,0.0154672
5.808e-04,-0.0079375,0.0153047
5.812e-04,-0.00815625,0.0153906
5.816e-04,-0.00865625,0.015325
5.820e-04,-0.0081875,0.0152406
5.824e-04,-0.0071875,0.0153734
5.828e-04,-0.0088125,0.0153063
5.832e-04,-0.0085,0.0152484
5.836e-04,-0.0089375,0.0151609
5.840e-04,-0.00884375,0.0151172
5.844e-04,-0.00846875,0.0151594
5.848e-04,-0.00790625,0.0151406
5.852e-04,-0.008625,0.0150109
5.856e-04,-0.00875,0.0150203
5.860e-04,-0.0079375,0.0150563
5.864e-04,-0.008125,0.0148984
5.868e-04,-0.0085625,0.0149375
5.872e-04,-0.007875,0.0148
