Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.0002,,,Horizontal Scale,0.0002
Horizontal Delay,0.000218,,,Horizontal Delay,0.000218
Sample Interval,2e-06,,,Sample Interval,2e-06
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.01,,,Vertical Scale,0.002
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH2,CH3,,TIME,"MATH<CH2-CH3>"
-7.820e-04,0.0211328,0.0145719,,-7.820e-04,0.00656094
-7.800e-04,0.0211625,0.0146172,,-7.800e-04,0.00654531
-7.780e-04,0.02125,0.01475,,-7.780e-04,0.0065
-7.760e-04,0.0213,0.0148844,,-7.760e-04,0.00641563
-7.740e-04,0.0213734,0.0150422,,-7.740e-04,0.00633125
-7.720e-04,0.0214094,0.0150078,,-7.720e-04,0.00640156
-7.700e-04,0.0214703,0.0150219,,-7.700e-04,0.00644844
-7.680e-04,0.0215219,0.0151484,,-7.680e-04,0.00637344
-7.660e-04,0.0215797,0.015225,,-7.660e-04,0.00635469
-7.640e-04,0.021625,0.0153875,,-7.640e-04,0.0062375
-7.620e-04,0.0216859,0.0156781,,-7.620e-04,0.00600781
-7.600e-04,0.021725,0.0156328,,-7.600e-04,0.00609219
-7.580e-04,0.0217828,0.0155594,,-7.580e-04,0.00622344
-7.560e-04,0.0218359,0.0155625,,-7.560e-04,0.00627344
-7.540e-04,0.0218875,0.0155156,,-7.540e-04,0.00637188
-7.520e-04,0.0219219,0.0155828,,-7.520e-04,0.00633906
-7.500e-04,0.0219828,0.0156484,,-7.500e-04,0.00633438
-7.480e-04,0.0220234,0.015725,,-7.480e-04,0.00629844
-7.460e-04,0.0220828,0.0158438,,-7.460e-04,0.00623906
-7.440e-04,0.0221172,0.0158812,,-7.440e-04,0.00623594
-7.420e-04,0.0221891,0.0159484,,-7.420e-04,0.00624063
-7.400e-04,0.022225,0.0159125,,-7.400e-04,0.0063125
-7.380e-04,0.0222594,0.0159625,,-7.380e-04,0.00629688
-7.360e-04,0.0223266,0.0160094,,-7.360e-04,0.00631719
-7.340e-04,0.022375,0.0161891,,-7.340e-04,0.00618594
-7.320e-04,0.0224422,0.0162141,,-7.320e-04,0.00622813
-7.300e-04,0.0224813,0.0162984,,-7.300e-04,0.00618281
-7.280e-04,0.0225266,0.0163766,,-7.280e-04,0.00615
-7.260e-04,0.0225625,0.0164172,,-7.260e-04,0.00614531
-7.240e-04,0.0226031,0.0164281,,-7.240e-04,0.006175
-7.220e-04,0.0226406,0.0164766,,-7.220e-04,0.00616406
-7.200e-04,0.0227125,0.0166266,,-7.200e-04,0.00608594
-7.180e-04,0.0227469,0.0167375,,-7.180e-04,0.00600938
-7.160e-04,0.0227828,0.0167547,,-7.160e-04,0.00602813
