Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,,Waveform Type,ANALOG
Point Format,Y,,,,Point Format,Y
Horizontal Units,s,,,,Horizontal Units,s
Horizontal Scale,0.0002,,,,Horizontal Scale,0.0002
Horizontal Delay,0.0002,,,,Horizontal Delay,0.0002
Sample Interval,2e-06,,,,Sample Interval,2e-06
Record Length,1000,,,,Record Length,1000
Gating,0.0% to 100.0%,,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,,Probe Attenuation,1
Vertical Units,V,,,,Vertical Units,V/s
Vertical Offset,0,,,,Vertical Offset,0
Vertical Scale,0.01,,,,Vertical Scale,100
Vertical Position,0,,,,Vertical Position,0
,,,,,,
,,,,,,
,,,,,,
Label,,,,,Label,
TIME,CH2,CH3,CH4,,TIME,"MATH<DIFF(CH3)-DIFF(CH2)>"
-8.000e-04,0.0101719,0.013125,-0.00025625,,-8.000e-04,-8.57812
-7.980e-04,0.0101188,0.0130656,-0.000267188,,-7.980e-04,-3.125
-7.960e-04,0.0100516,0.0130109,-0.000271875,,-7.960e-04,6.25
-7.940e-04,0.00996563,0.0131594,-0.000260937,,-7.940e-04,117.188
-7.920e-04,0.00990781,0.0131547,-0.00025625,,-7.920e-04,26.5469
-7.900e-04,0.00986719,0.0131656,-0.000267188,,-7.900e-04,25.7812
-7.880e-04,0.00980156,0.0129563,-0.000259375,,-7.880e-04,-71.875
-7.860e-04,0.0097125,0.0129313,-0.000289063,,-7.860e-04,32.0312
-7.840e-04,0.00968594,0.0129234,-0.000309375,,-7.840e-04,9.35938
-7.820e-04,0.00961875,0.0130313,-0.000295313,,-7.820e-04,87.4844
-7.800e-04,0.00956406,0.0130031,-0.000289063,,-7.800e-04,13.2812
-7.780e-04,0.00949375,0.0129641,-0.000267188,,-7.780e-04,15.6094
-7.760e-04,0.00944531,0.0128984,-0.000275,,-7.760e-04,-8.57812
-7.740e-04,0.00938125,0.0128828,-0.000292188,,-7.740e-04,24.2031
-7.720e-04,0.00932344,0.0127109,-0.000295313,,-7.720e-04,-57.0156
-7.700e-04,0.0092625,0.0125969,-0.000309375,,-7.700e-04,-26.5625
-7.680e-04,0.00921719,0.0124953,-0.000295313,,-7.680e-04,-28.125
-7.660e-04,0.00916875,0.0124344,-0.000276563,,-7.660e-04,-6.25
-7.640e-04,0.00911563,0.0123406,-0.000279687,,-7.640e-04,-20.2969
-7.620e-04,0.00907188,0.0124313,-0.000264063,,-7.620e-04,67.1875
-7.600e-04,0.00902656,0.0123547,-0.000292188,,-7.600e-04,-15.625
-7.580e-04,0.00898125,0.0121984,-0.0002875,,-7.580e-04,-55.4688
-7.560e-04,0.0089375,0.0120781,-0.000279687,,-7.560e-04,-38.2812
-7.540e-04,0.00885312,0.0118828,-0.000296875,,-7.540e-04,-55.4688
-7.520e-04,0.00882031,0.0118016,-0.000309375,,-7.520e-04,-24.2031
-7.500e-04,0.00877813,0.0119484,-0.000284375,,-7.500e-04,94.5312
-7.480e-04,0.0087375,0.0119469,-0.000309375,,-7.480e-04,19.5156
-7.460e-04,0.00867344,0.0119,-0.000301563,,-7.460e-04,8.57812
