Stimulus (mV),Current (mA),,,,,,,,
-499.633728,0.00065391,,,,,,,,
-449.6703491,0.000291564,,,,,,,,
-499.0964966,0.000171095,,,,,,,,
-449.1331177,0.000114844,,,,,,,,
-498.0220032,8.48443E-05,,,,,,,,
-448.0586243,6.00004E-05,,,,,,,,
-496.9475403,4.45315E-05,,,,,,,,
-446.9841614,2.53127E-05,,,,,,,,
-495.8730469,1.50001E-05,,,,,,,,
-445.909668,3.75002E-06,,,,,,,,
-494.7985535,-5.15628E-06,,,,,,,,
-444.8352051,-1.45313E-05,,,,,,,,
-493.7240906,-2.01564E-05,,,,,,,,
-443.7607117,-2.95314E-05,,,,,,,,
-492.6495972,-3.28127E-05,,,,,,,,
-442.6862183,-4.1719E-05,,,,,,,,
-492.1123657,-4.3594E-05,,,,,,,,
-442.1489868,-5.01566E-05,,,,,,,,
-491.0378723,-5.29691E-05,,,,,,,,
-441.0744934,-5.81254E-05,,,,,,,,
-489.9634094,-5.81254E-05,,,,,,,,
-440.0000305,-6.46879E-05,,,,,,,,
-488.888916,-6.60942E-05,,,,,,,,
-438.9255371,-7.12504E-05,,,,,,,,
-487.8144226,-6.98442E-05,,,,,,,,
-437.8510742,-7.54692E-05,,,,,,,,
-486.7399597,-7.50005E-05,,,,,,,,
-436.7765808,-8.01567E-05,,,,,,,,
-485.6654663,-8.06255E-05,,,,,,,,
-435.7020874,-8.39068E-05,,,,,,,,
-485.1282349,-8.29693E-05,,,,,,,,
-435.164856,-8.62505E-05,,,,,,,,
-484.0537415,-8.7188E-05,,,,,,,,
-434.0903931,-9.04693E-05,,,,,,,,
-482.9792786,-9.09381E-05,,,,,,,,
-433.0158997,-9.37506E-05,,,,,,,,
-481.9047852,-9.46881E-05,,,,,,,,
-431.9414063,-9.75006E-05,,,,,,,,
-480.8303223,-9.70318E-05,,,,,,,,
-430.8669434,-0.000100782,,,,,,,,
-479.7558289,-9.98444E-05,,,,,,,,
-429.79245,-0.000102657,,,,,,,,
-478.6813354,-0.000101251,,,,,,,,
-428.7179565,-0.000104532,,,,,,,,
-478.144104,-0.000103126,,,,,,,,
-428.1807251,-0.000107344,,,,,,,,
-477.0696106,-0.000105001,,,,,,,,
-427.1062622,-0.000108282,,,,,,,,
-475.9951477,-0.000106876,,,,,,,,
-426.0317688,-0.000110626,,,,,,,,
-474.9206543,-0.000110157,,,,,,,,
-424.9572754,-0.000112969,,,,,,,,
-473.8461914,-0.000112032,,,,,,,,
-423.8828125,-0.000114376,,,,,,,,
-472.771698,-0.000112501,,,,,,,,
-422.8083191,-0.000115313,,,,,,,,
-471.6972046,-0.000113907,,,,,,,,
-421.7338562,-0.000117188,,,,,,,,
-471.1599731,-0.000115313,,,,,,,,
-421.1965942,-0.000118594,,,,,,,,
-470.0855103,-0.000118126,,,,,,,,
-420.1221313,-0.000120001,,,,,,,,
-469.0110168,-0.000120001,,,,,,,,
