N,X,Y,Z,Time,Jitter,Time Calculated,Sender
0,-1.026,0.007,0.007,1654115159.122357,0.0,1654115159.122357,20.0
1,-1.025,0.007,0.007,1654115159.324627,0.0022700309753417858,1654115159.322357,20.0
2,-1.025,0.007,0.007,1654115159.498377,-0.023979806900024436,1654115159.522357,20.0
3,-1.025,0.007,0.007,1654115159.707556,-0.014800882339477628,1654115159.7223568,20.0
4,-1.025,0.007,0.007,1654115159.910123,-0.01223378181457524,1654115159.9223568,20.0
5,-1.026,0.007,0.007,1654115160.198363,0.07600617408752441,1654115160.122357,20.0
6,-1.025,0.007,0.007,1654115160.316448,-0.005908918380737482,1654115160.322357,20.0
7,-1.025,0.007,0.007,1654115160.517798,-0.004558944702148571,1654115160.522357,20.0
8,-1.025,0.007,0.007,1654115160.777563,0.05520620346069327,1654115160.7223568,20.0
9,-1.025,0.007,0.007,1654115160.957154,0.03479714393615718,1654115160.9223568,20.0
10,-1.025,0.007,0.007,1654115161.125459,0.0031020641326904297,1654115161.122357,20.0
11,-1.025,0.007,0.007,1654115161.30469,-0.01766700744628924,1654115161.322357,20.0
12,-1.025,0.007,0.007,1654115161.507879,-0.014477872848511097,1654115161.522357,20.0
13,-1.025,0.007,0.007,1654115161.733146,0.010789060592651278,1654115161.7223568,20.0
14,-1.025,0.007,0.007,1654115161.950301,0.027944040298461648,1654115161.9223568,20.0
15,-1.025,0.007,0.007,1654115162.115943,-0.006413936614990234,1654115162.122357,20.0
16,-1.025,0.007,0.007,1654115162.31737,-0.00498695373535174,1654115162.322357,20.0
17,-1.025,0.007,0.007,1654115162.519817,-0.00253977775573766,1654115162.522357,20.0
18,-1.025,0.007,0.007,1654115162.722701,0.0003441810607909268,1654115162.7223568,20.0
19,-1.025,0.007,0.007,1654115162.973094,0.050737094879150124,1654115162.9223568,20.0
20,-1.025,0.007,0.007,1654115163.105095,-0.017261981964111328,1654115163.122357,20.0
21,-1.025,0.007,0.007,1654115163.310454,-0.011902999877929865,1654115163.322357,20.0
22,-1.025,0.007,0.007,1654115163.509301,-0.013055944442749379,1654115163.522357,20.0
23,-1.025,0.007,0.007,1654115163.712495,-0.009861803054810103,1654115163.7223568,20.0
24,-1.025,0.007,0.007,1654115163.912701,-0.009656000137329812,1654115163.9223568,20.0
25,-1.025,0.007,0.007,1654115164.11733,-0.005026817321777344,1654115164.122357,20.0
26,-1.025,0.007,0.007,1654115164.319497,-0.0028597831726075995,1654115164.322357,20.0
27,-1.025,0.007,0.008,1654115165.133764,0.6114071369171139,1654115164.522357,20.0
28,-1.025,0.007,0.007,1654115165.136765,0.4144081115722651,1654115164.7223568,20.0
29,-1.025,0.007,0.007,1654115165.137761,0.21540422439575124,1654115164.9223568,20.0
30,-1.025,0.007,0.007,1654115165.138759,0.016402006149291992,1654115165.122357,20.0
31,-1.025,0.007,0.007,1654115165.309892,-0.012464952468872248,1654115165.322357,20.0
32,-1.025,0.007,0.007,1654115165.512472,-0.009884977340698597,1654115165.522357,20.0
33,-1.025,0.007,0.007,1654115165.715461,-0.006895875930786666,1654115165.7223568,20.0
34,-1.025,0.007,0.007,1654115165.939779,0.017422151565551047,1654115165.9223568,20.0
35,-1.025,0.007,0.007,1654115166.135246,0.01288914680480957,1654115166.122357,20.0
36,-1.025,0.007,0.007,1654115166.309455,-0.012901973724365412,1654115166.322357,20.0
37,-1.025,0.007,0.007,1654115166.514832,-0.00752487182617223,1654115166.522357,20.0
38,-1.025,0.007,0.007,1654115166.704925,-0.017431831359863814,1654115166.7223568,20.0
39,-1.025,0.007,0.007,1654115166.895325,-0.027031946182251687,1654115166.9223568,20.0
40,-1.025,0.007,0.007,1654115167.100721,-0.021636009216308594,1654115167.122357,20.0
41,-1.025,0.007,0.007,1654115167.297773,-0.02458400726318466,1654115167.322357,20.0
42,-1.025,0.007,0.007,1654115167.578181,0.055824136734008434,1654115167.522357,20.0
43,-1.025,0.007,0.007,1654115167.826529,0.10417213439941442,1654115167.7223568,20.0
44,-1.025,0.007,0.007,1654115167.906634,-0.01572279930114817,1654115167.9223568,20.0
45,-1.025,0.007,0.007,1654115169.118719,0.9963622093200684,1654115168.122357,20.0
46,-1.025,0.007,0.007,1654115169.120719,0.7983620643615712,1654115168.322357,20.0
47,-1.026,0.006,0.007,1654115169.121686,0.5993290901184078,1654115168.522357,20.0
48,-1.025,0.007,0.007,1654115169.122723,0.4003662109374986,1654115168.7223568,20.0
49,-1.025,0.007,0.007,1654115169.12372,0.20136303901672292,1654115168.9223568,20.0
50,-1.025,0.007,0.007,1654115169.124718,0.0023610591888427734,1654115169.122357,20.0
51,-1.025,0.007,0.007,1654115169.315166,-0.007190895080567472,1654115169.322357,20.0
52,-1.026,0.006,0.007,1654115169.512042,-0.010314846038818715,1654115169.522357,20.0
53,-1.025,0.007,0.007,1654115169.707439,-0.014917945861817827,1654115169.7223568,20.0
54,-1.025,0.007,0.008,1654115169.910904,-0.011452960968018289,1654115169.9223568,20.0
55,-1.025,0.007,0.007,1654115170.117262,-0.005095005035400391,1654115170.122357,20.0
56,-1.025,0.007,0.008,1654115170.332514,0.01015715599059952,1654115170.322357,20.0
57,-1.025,0.007,0.007,1654115170.507151,-0.01520600318908727,1654115170.522357,20.0
58,-1.025,0.006,0.007,1654115170.745078,0.022721195220945845,1654115170.7223568,20.0
59,-1.025,0.007,0.007,1654115170.903029,-0.019327926635742898,1654115170.9223568,20.0
60,-1.025,0.007,0.007,1654115171.108426,-0.013930797576904297,1654115171.122357,20.0
61,-1.025,0.007,0.007,1654115171.303394,-0.01896281242370712,1654115171.322357,20.0
62,-1.025,0.007,0.007,1654115171.509148,-0.013209009170532582,1654115171.522357,20.0
63,-1.025,0.007,0.007,1654115171.72922,0.006863021850584516,1654115171.7223568,20.0
64,-1.025,0.007,0.007,1654115171.919589,-0.00276784896850657,1654115171.9223568,20.0
65,-1.025,0.007,0.007,1654115172.124308,0.0019512176513671875,1654115172.122357,20.0
66,-1.025,0.007,0.007,1654115172.375138,0.05278115272521866,1654115172.322357,20.0
67,-1.025,0.007,0.007,1654115172.502593,-0.01976385116577184,1654115172.522357,20.0
68,-1.025,0.007,0.007,1654115172.707234,-0.015122985839845171,1654115172.7223568,20.0
69,-1.025,0.007,0.007,1654115172.921632,-0.0007248401641852809,1654115172.9223568,20.0
70,-1.025,0.007,0.007,1654115173.117377,-0.004979848861694336,1654115173.122357,20.0
71,-1.025,0.007,0.007,1654115173.388578,0.06622104644775284,1654115173.322357,20.0
72,-1.025,0.007,0.007,1654115173.514289,-0.00806798934936559,1654115173.522357,20.0
73,-1.025,0.007,0.007,1654115173.725234,0.0028771400451645945,1654115173.7223568,20.0
74,-1.025,0.007,0.007,1654115173.926291,0.003934097290038352,1654115173.9223568,20.0
75,-1.025,0.007,0.007,1654115174.106077,-0.016279935836791992,1654115174.122357,20.0
76,-1.025,0.007,0.007,1654115174.305911,-0.016445827484131925,1654115174.322357,20.0
77,-1.025,0.007,0.007,1654115174.509811,-0.012545967102051137,1654115174.522357,20.0
78,-1.025,0.007,0.007,1654115174.714341,-0.008015966415406695,1654115174.7223568,20.0
79,-1.025,0.007,0.007,1654115174.903622,-0.018734979629517312,1654115174.9223568,20.0
80,-1.025,0.007,0.007,1654115175.107777,-0.01457977294921875,1654115175.122357,20.0
81,-1.025,0.007,0.007,1654115175.312267,-0.010089826583861594,1654115175.322357,20.0
82,-1.025,0.007,0.008,1654115175.520029,-0.0023278236389181473,1654115175.522357,20.0
83,-1.025,0.007,0.007,1654115175.726524,0.004167222976683149,1654115175.7223568,20.0
84,-1.025,0.007,0.007,1654115175.907129,-0.015227842330933328,1654115175.9223568,20.0
85,-1.025,0.007,0.008,1654115176.107532,-0.014824867248535156,1654115176.122357,20.0
86,-1.025,0.007,0.007,1654115176.36542,0.04306321144104075,1654115176.322357,20.0
87,-1.025,0.007,0.007,1654115176.51509,-0.007266902923586116,1654115176.522357,20.0
88,-1.025,0.007,0.007,1654115176.758613,0.03625621795654155,1654115176.7223568,20.0
89,-1.025,0.007,0.007,1654115176.916991,-0.0053658962249762965,1654115176.9223568,20.0
90,-1.025,0.007,0.007,1654115177.122353,-3.814697265625e-06,1654115177.122357,20.0
91,-1.025,0.007,0.007,1654115177.343714,0.021357107162476296,1654115177.322357,20.0
92,-1.025,0.007,0.007,1654115177.562612,0.040255165100095525,1654115177.522357,20.0
93,-1.025,0.007,0.007,1654115177.701332,-0.02102479934692525,1654115177.7223568,20.0
94,-1.025,0.007,0.007,1654115177.910722,-0.01163487434387278,1654115177.9223568,20.0
95,-1.025,0.007,0.007,1654115178.111395,-0.01096200942993164,1654115178.122357,20.0
96,-1.025,0.007,0.007,1654115178.311929,-0.010427904129031162,1654115178.322357,20.0
97,-1.025,0.007,0.007,1654115178.555656,0.03329906463622834,1654115178.522357,20.0
98,-1.025,0.007,0.007,1654115179.938899,1.2165421485900865,1654115178.7223568,20.0
99,-1.025,0.007,0.007,1654115179.938899,1.0165421485900872,1654115178.9223568,20.0
100,-1.025,0.007,0.007,1654115179.938899,0.8165421485900879,1654115179.122357,20.0
101,-1.025,0.007,0.007,1654115179.938899,0.616542148590085,1654115179.322357,20.0
102,-1.025,0.007,0.007,1654115179.938899,0.41654214859008576,1654115179.522357,20.0
103,-1.025,0.007,0.007,1654115179.938899,0.21654214859008647,1654115179.7223568,20.0
104,-1.025,0.007,0.007,1654115179.938899,0.01654214859008718,1654115179.9223568,20.0
105,-1.025,0.007,0.007,1654115180.194098,0.07174110412597656,1654115180.122357,20.0
106,-1.025,0.007,0.007,1654115180.315362,-0.006994915008547764,1654115180.322357,20.0
107,-1.025,0.007,0.007,1654115180.516798,-0.005558872222902522,1654115180.522357,20.0
108,-1.025,0.007,0.007,1654115180.841584,0.1192270755767808,1654115180.7223568,20.0
109,-1.025,0.007,0.007,1654115180.921027,-0.0013299465179450465,1654115180.9223568,20.0
110,-1.025,0.007,0.007,1654115182.202194,1.0798370838165283,1654115181.122357,20.0
111,-1.025,0.007,0.007,1654115182.202194,0.8798370838165255,1654115181.322357,20.0
